Game number,Game Time [Msec],Time To first drag [Msec],Self value,Other value
1,3872,1730,85.0,64.0
2,3856,1536,92.5,32.5
3,14105,1561,65.75,93.25
4,8432,3409,57.0,83.0
5,121054,82206,95.0,55.0
6,4999,1745,94.0,64.0

25.864498,Player SVO angle [Deg] :
