Game number,Game Time [Msec],Time To first drag [Msec],Self value,Other value
1,108271,10784,85.0,85.0
2,8448,1344,100.0,50.0
3,20120,10384,85.0,85.0
4,8864,2232,85.0,15.0
5,12960,2048,91.5,58.5
6,11880,1856,86.5,81.5

17.842764,Player SVO angle [Deg] :
