Game number,Game Time [Msec],Time To first drag [Msec],Self value,Other value
1,12736,4136,85.0,85.0
2,90912,56944,100.0,50.0
3,17137,6536,85.0,85.0
4,28112,9336,64.7,64.3
5,17176,2104,75.0,75.0
6,4903,2815,85.0,85.0

36.54362,Player SVO angle [Deg] :
