Game number,Game Time [Msec],Time To first drag [Msec],Self value,Other value
1,6528,2591,85.0,85.0
2,15472,2065,100.0,50.0
3,16304,5745,78.0,88.0
4,39061,3537,70.3,50.7
5,8385,1768,80.0,70.0
6,10656,2409,90.25,72.75

29.773674,Player SVO angle [Deg] :
