Game number,Game Time [Msec],Time To first drag [Msec],Self value,Other value
1,19424,2344,85.0,85.0
2,11544,1752,100.0,50.0
3,15960,1424,81.5,86.5
4,82111,19176,68.9,54.1
5,12462,1574,75.0,75.0
6,34402,2808,86.95,80.45

33.586098,Player SVO angle [Deg] :
