Game number,Game Time [Msec],Time To first drag [Msec],Self value,Other value
1,15951,2129,85.0,85.0
2,14304,1897,100.0,50.0
3,22433,1866,78.0,88.0
4,34160,6472,64.7,64.3
5,65527,4583,90.0,60.0
6,9072,1328,85.0,85.0

33.132027,Player SVO angle [Deg] :
