Game number,Game Time [Msec],Time To first drag [Msec],Self value,Other value
1,14391,6775,85.0,15.0
2,120511,10474,85.0,15.0
3,11128,1504,85.0,85.0
4,19569,2049,62.95,68.55
5,8168,2256,100.0,50.0
6,26544,1184,100.0,50.0

-4.3162766,Player SVO angle [Deg] :
