Game number,Game Time [Msec],Time To first drag [Msec],Self value,Other value
1,10503,1192,85.0,84.3
2,93416,11152,92.5,32.5
3,7592,2088,85.0,85.0
4,13025,3594,64.7,64.3
5,6416,2288,75.5,74.5
6,11319,2800,85.15,84.65

33.693592,Player SVO angle [Deg] :
