Game number,Game Time [Msec],Time To first drag [Msec],Self value,Other value
1,37479,16975,85.0,85.0
2,8392,2128,100.0,50.0
3,11304,1968,85.0,85.0
4,20344,2297,65.05,63.45
5,59352,6911,80.0,70.0
6,129928,2880,95.2,61.2

28.603783,Player SVO angle [Deg] :
