Game number,Game Time [Msec],Time To first drag [Msec],Self value,Other value
1,26223,1943,85.0,85.0
2,16887,1873,98.35,46.15
3,14096,1264,85.0,85.0
4,9497,1672,81.5,23.5
5,10248,4288,75.0,75.0
6,36728,12768,88.6,76.6

23.146738,Player SVO angle [Deg] :
