Game number,Game Time [Msec],Time To first drag [Msec],Self value,Other value
1,18864,2178,85.0,45.100002
2,49808,7472,98.05,45.45
3,45272,3323,85.0,85.0
4,26800,1872,64.7,64.3
5,8032,2521,75.5,74.5
6,67311,7050,85.0,85.0

27.207737,Player SVO angle [Deg] :
