Game number,Game Time [Msec],Time To first drag [Msec],Self value,Other value
1,25544,12592,85.0,85.0
2,23696,9712,100.0,50.0
3,9592,5696,85.0,85.0
4,21320,4600,70.3,50.7
5,22400,5360,79.5,70.5
6,45727,13727,85.0,85.0

31.64183,Player SVO angle [Deg] :
