Game number,Game FPC,Game DRP,Dominant player,Game Time [Msec],Time To first drag [Msec],Reference point,Data point,X,Y,Point value,Connection
1,1.7246,0.5,0,15616,2256
 , , , , , ,r1, ,282,435
 , , , , , ,r2, ,1213,435
 , , , , , , ,d1,94,610,3,r1
 , , , , , , ,d2,557,322,3,r2
 , , , , , , ,d3,865,106,3,r2
 , , , , , , ,d4,1019,106,1,r2
 , , , , , , ,d5,1019,682,2,r1


2,2.0975,0.5,0,7329,2145
 , , , , , ,r1, ,282,435
 , , , , , ,r2, ,1213,435
 , , , , , , ,d1,248,538,3,r1
 , , , , , , ,d2,557,466,3,r2
 , , , , , , ,d3,865,538,2,r1
 , , , , , , ,d4,1179,106,4,r2


3,2.3319,0.5714,1,15808,2791
 , , , , , ,r1, ,282,435
 , , , , , ,r2, ,1213,435
 , , , , , , ,d1,248,178,3,r2
 , , , , , , ,d2,403,178,2,r1
 , , , , , , ,d3,403,610,3,r2
 , , , , , , ,d4,865,106,2,r1
 , , , , , , ,d5,1019,394,1,r1
 , , , , , , ,d6,1179,682,3,r2


4,2.3755,0.5556,2,16168,2048
 , , , , , ,r1, ,282,435
 , , , , , ,r2, ,1213,435
 , , , , , , ,d1,557,466,2,r1
 , , , , , , ,d2,557,610,2,r1
 , , , , , , ,d3,865,466,2,r2
 , , , , , , ,d4,1179,106,1,r2
 , , , , , , ,d5,1333,322,2,r2


5,2.0183,0.667,1,28943,4551
 , , , , , ,r1, ,282,435
 , , , , , ,r2, ,1213,435
 , , , , , , ,d1,403,250,1,r1
 , , , , , , ,d2,403,610,3,r2
 , , , , , , ,d3,1179,106,2,r1


6,3.544,0.6364,2,7273,3145
 , , , , , ,r1, ,282,435
 , , , , , ,r2, ,1213,435
 , , , , , , ,d1,248,466,4,r1
 , , , , , , ,d2,865,178,3,r2
 , , , , , , ,d3,1179,538,4,r2


7,2.9756,0.778,1,14768,3240
 , , , , , ,r1, ,282,435
 , , , , , ,r2, ,1213,435
 , , , , , , ,d1,94,250,4,r2
 , , , , , , ,d2,248,682,1,r2
 , , , , , , ,d3,557,466,2,r1
 , , , , , , ,d4,1333,322,2,r1


8,2.4123,0.7692,2,16704,1880
 , , , , , ,r1, ,282,435
 , , , , , ,r2, ,1213,435
 , , , , , , ,d1,94,250,1,r1
 , , , , , , ,d2,557,538,2,r1
 , , , , , , ,d3,865,178,3,r2
 , , , , , , ,d4,1019,466,2,r1
 , , , , , , ,d5,1179,178,3,r2
 , , , , , , ,d6,1333,178,2,r2


9,1.8743,0.9,1,9247,2464
 , , , , , ,r1, ,282,435
 , , , , , ,r2, ,1213,435
 , , , , , , ,d1,248,610,5,r2
 , , , , , , ,d2,557,322,4,r1
 , , , , , , ,d3,865,178,1,r2


10,2.4557,0.875,2,6807,2464
 , , , , , ,r1, ,282,435
 , , , , , ,r2, ,1213,435
 , , , , , , ,d1,248,250,1,r1
 , , , , , , ,d2,1019,250,2,r1
 , , , , , , ,d3,1019,610,2,r2
 , , , , , , ,d4,1333,610,3,r2


