Game number,Game Time [Msec],Time To first drag [Msec],Self value,Other value
1,8023,2127,85.0,85.0
2,43519,5015,96.55,41.949997
3,21209,4914,85.0,85.0
4,874090,1785,65.05,63.45
5,13696,2465,74.5,75.5
6,14584,8056,85.0,85.0

35.418385,Player SVO angle [Deg] :
