Game number,Game Time [Msec],Time To first drag [Msec],Self value,Other value
1,4992,1513,85.0,15.0
2,2976,1920,100.0,50.0
3,6688,1323,85.0,85.0
4,108620,1708,85.0,15.0
5,3640,1372,50.0,100.0
6,1825,1049,85.0,85.0

14.743562,Player SVO angle [Deg] :
