Game number,Game Time [Msec],Time To first drag [Msec],Self value,Other value
1,14264,1963,85.0,15.0
2,9536,2033,100.0,50.0
3,35973,8961,85.0,85.0
4,11016,1386,85.0,15.0
5,12008,1427,96.0,54.0
6,12376,1563,92.8,66.8

-3.3333988,Player SVO angle [Deg] :
