Game number,Game Time [Msec],Time To first drag [Msec],Self value,Other value
1,7040,1888,85.0,85.0
2,78349,6079,100.0,50.0
3,64272,4648,85.0,85.0
4,13384,2497,85.0,15.0
5,18512,14448,100.0,50.0
6,6224,2137,100.0,50.0

7.8152924,Player SVO angle [Deg] :
