Game number,Game Time [Msec],Time To first drag [Msec],Self value,Other value
1,2936,1632,85.0,85.0
2,11640,1619,92.8,33.199997
3,36360,25225,81.5,86.5
4,117900,15213,60.85,73.65
5,9024,2481,81.5,68.5
6,34168,2131,97.0,57.0

27.599602,Player SVO angle [Deg] :
