Game number,Game Time [Msec],Time To first drag [Msec],Self value,Other value
1,7359,2488,85.0,85.0
2,89749,7453,100.0,50.0
3,10808,3032,85.0,85.0
4,16216,6167,64.7,64.3
5,14760,2456,75.0,75.0
6,6801,1905,85.0,85.0

36.54362,Player SVO angle [Deg] :
